,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,service_provider,label
63693,1732613,523365.0,True,2017-11-07 13:21:48+00:00,"@AmazonHelp @115830 yep, cs could not tell me when or if my order is coming. Just said I had to wait for an email in the next 24 hrs :(",1732614,1732612.0,amazonhelp,negative
25613,575365,255384.0,True,2017-12-03 11:23:27+00:00,@AmazonHelp Can you check if they’re being fulfilled? The version I ordered is “unavailable” when I click on it’s product page and has been replaced by a more@expensive version??,575367,575364.0,amazonhelp,negative
15057,348809,199027.0,True,2017-10-10 08:55:22+00:00,@AmazonHelp Five (5) days delayed and you're still saying will work on it and get in touch with you. Wonderful.,348810,348808.0,amazonhelp,negative
333003,2198802,643145.0,True,2017-11-10 02:30:12+00:00,"@AmazonHelp I've done that, already. What good is a phone call from you going to do me if you're powerless? Your agent already told me that all she can offer is hopes and good thoughts at this point. You guys need to rethink your AMZL, because clearly I'm not the only one frustrated here.",2198800,2198803.0,amazonhelp,negative
329175,1912675,569728.0,True,2017-10-18 14:08:36+00:00,"@AmazonHelp hi I have used the vacuum bags I ordered in July but 2 of the 5 do not work, there appears to be a whole in them",1912674,,amazonhelp,negative
400873,2683569,754804.0,True,2017-11-19 15:25:29+00:00,"@AmazonHelp Received a replacement to a faulty item to find this is also broken. The item is too large and too heavy to return with local curriers, as explained last time. Advisors not listening and a very rude supervisor called Alex. I will send photographs from curriers",,2683566.0,amazonhelp,negative
7770,222729,169204.0,True,2017-10-05 03:33:13+00:00,@AmazonHelp my primed package isn't here why do you bring my hopes up to just crush them,222727,,amazonhelp,negative
57378,1516012,471738.0,True,2017-11-03 18:58:47+00:00,@AmazonHelp NO! I always fill those stupid things out and you guys never do anything. Just fix your dumb drivers. Teach them how to read a GPS.,,1516011.0,amazonhelp,negative
6954,197752,162507.0,True,2017-10-07 14:40:23+00:00,@AmazonHelp Very poor support team from Amazon,197753,197751.0,amazonhelp,negative
394950,2463865,703946.0,True,2017-11-15 09:49:15+00:00,@AmazonHelp It says it’s with Royal Mail but it has said this since Saturday. Swati via email has advised it has been lost in transit. This person has been the most helpful and I don’t appreciate the lies I was told on the chat room.,2463866,2457738.0,amazonhelp,negative
47449,1229513,408377.0,True,2017-10-16 01:28:39+00:00,@AmazonHelp Look at his hungry little face. https://t.co/KcvX5V2q9a,,1229512.0,amazonhelp,negative
